"name","age","club","boat","gender","country","type"
"Celia Toledo","2002",NA,"K","F","ESP",NA
"Cesar Becasseau","2001",NA,"C","M","FRA",NA
"Charli Smyth","2002",NA,"K","F","AUS",NA
"Charlotte Carey","2002",NA,"C","F","GBR",NA
"Cheng-Wei Lin","2002",NA,"K","M","TPE",NA
"Christos Matsas","2003",NA,"K","M","GRE",NA
"Conrad Scheibner","1996",NA,"C","M","GER",NA
"Constantin Diba","1996",NA,"C","M","ROU",NA
"Cosmin Nitu","2003",NA,"C","M","ROU",NA
"Cristina Grinco","2002",NA,"K","F","MDA",NA
"Daniel Atkins","2001",NA,"K","M","GBR",NA
"Daniel Kucharski","2001",NA,"K","M","AUS",NA
"Daniel Ledesma","1998",NA,"K","M","MEX",NA
"Daniela Castillo","2001",NA,"K","F","CHI",NA
"Danil Vetrov","2002",NA,"K","M","RUS",NA
"Daria Gladkova","2002",NA,"C","F","RUS",NA
"Daria Kharchenko","1998",NA,"C","F","RUS",NA
"Darius Zaharia","2003",NA,"K","M","ROU",NA
"David Fekete","2000",NA,"C","M","SVK",NA
"David Hodovan","2001",NA,"C","M","HUN",NA
"David Rodrigues","1996",NA,"K","M","RSA",NA
"Dawid Szela","2001",NA,"C","M","ITA",NA
"Denis Dimitrov","2001",NA,"K","M","BUL",NA
"Denis Onufriev","2000",NA,"K","M","UZB",NA
"Denisa Rahova","2001",NA,"C","F","CZE",NA
"Denislav Tsvetanov","1999",NA,"K","M","BUL",NA
"Deniss Tihhomirov","1999",NA,"C","M","EST",NA
"Diana Svyrydova","1997",NA,"K","F","UKR",NA
"Dicka Nassar","2001",NA,"K","M","FRA",NA
"Dimitar Petrov","2001",NA,"C","M","BUL",NA
"Dimitrije Novakovic","2001",NA,"K","M","SRB",NA
"Dmitrii Sharov","1996",NA,"C","M","RUS",NA
"Dmytro Ozymok","2000",NA,"C","M","UKR",NA
"Dominik Olexik","2001",NA,"C","M","SVK",NA
"Dominik Zombori","2000",NA,"C","M","HUN",NA
"Dominykas Pazera","2001",NA,"C","M","LTU",NA
"Donna Hutton","1998",NA,"K","F","RSA",NA
"Dorota Borowska","1996",NA,"C","F","POL",NA
"Eduard Strycek","2001",NA,"C","M","SVK",NA
"Elisa Zapata","1998",NA,"K","F","ESP",NA
"Eliska Betlachova","1998",NA,"K","F","CZE",NA
"Emese Kohalmi","2002",NA,"K","F","HUN",NA
"Emilie Markussen","2001",NA,"K","F","DEN",NA
"Emily Hewitt","1996",NA,"C","F","GBR",NA
"Emma Nieminen","2002",NA,"K","F","FIN",NA
"Emma Russell","2000",NA,"K","F","GBR",NA
"Enya Dale","2001",NA,"K","F","GBR",NA
"Erfan Zendehpey","2001",NA,"C","M","IRI",NA
"Estefania Fernandez","1996",NA,"K","F","ESP",NA
"Eszter Rendessy","2002",NA,"K","F","HUN",NA
"Ethan Neville","1999",NA,"K","M","AUS",NA
"Eugenie Dorange","1998",NA,"C","F","FRA",NA
"Fabrizio Mattia","1996",NA,"C","M","ITA",NA
