"name","age","club","boat","gender","country","type"
"Bartosz Hałas","2002",NA,"K","M","POL",NA
"Bartosz Masłowski","2001",NA,"C","M","POL",NA
"Beatriz Bessa","2003",NA,"K","F","POR",NA
"Beatriz Lamas","2002",NA,"C","F","POR",NA
"Beatriz Rodrigues","2002",NA,"K","F","POR",NA
"Bence Kuska","2003",NA,"C","M","HUN",NA
"Benedek Horváth","2001",NA,"C","M","HUN",NA
"Benedek Szegvári","2001",NA,"K","M","HUN",NA
"Benita Veretinskaitė","2003",NA,"K","F","LIT",NA
"Benjamin Want","2003",NA,"K","M","GBR",NA
"Bennet Weiß","2002",NA,"K","M","GER",NA
"Bertrand Petitbout","2002",NA,"K","M","FRA",NA
"Biljana Vukov","2003",NA,"K","F","SER",NA
"Bojan Delibasic","2003",NA,"K","M","SER",NA
"Bojana Mihajlovic","2001",NA,"C","F","SER",NA
"Boris Todorović","2002",NA,"C","M","BIH",NA
"Branko Lagundzic","2002",NA,"K","M","SER",NA
"Bruno Scheibner","2001",NA,"C","M","GER",NA
"Cameron Low","2001",NA,"K","M","CAN",NA
"Carmen Lai","2003",NA,"K","F","SIN",NA
"Carol Irsigler","2003",NA,"K","M","AUS",NA
"Cassandra Horton","2001",NA,"C","F","HUN",NA
"Cemrehan Özbek","2003",NA,"K","M","TUR",NA
"Cesar Becasseau","2001",NA,"C","M","FRA",NA
"César Soares","2002",NA,"C","M","POR",NA
"Charlotte Carey","2002",NA,"C","F","GBR",NA
"Chloe Chrochard","2002",NA,"K","F","FRA",NA
"Christos Dylan Christodoulou","2003",NA,"K","M","CYP",NA
"Christos Matsas","2003",NA,"K","M","GRE",NA
"Cornelia Hepp","2002",NA,"K","F","AUS",NA
"Craig Johnson","2003",NA,"K","M","CAN",NA
"Csenge Molnár","2001",NA,"C","F","HUN",NA
"Csilla Rugási","2002",NA,"K","F","HUN",NA
"Dagmar Čulenová","2002",NA,"K","F","SVK",NA
"Damian Liskowiak","2001",NA,"K","M","POL",NA
"Daniel Atkins","2001",NA,"K","M","GBR",NA
"Daniel Djärf","2002",NA,"K","M","SWE",NA
"Daniel Rybansky","2003",NA,"K","M","SVK",NA
"Danil Tsikhanovich","2003",NA,"K","M","BLR",NA
"Daria Troshchak","2001",NA,"C","F","UKR",NA
"Darko Erceg","2002",NA,"C","M","CRO",NA
"David Appelhans","2003",NA,"K","M","GER",NA
"David Bauschke","2002",NA,"C","M","GER",NA
"Dávid Hodován","2001",NA,"C","M","HUN",NA
"Dawid Janowicz","2003",NA,"K","M","POL",NA
"Denis Dimitrov","2001",NA,"K","M","BUL",NA
"Denis Folvarek","2001",NA,"K","M","CRO",NA
"Denisa Rahova","2001",NA,"C","F","CZE",NA
"Deniz Kaya","2003",NA,"K","M","TUR",NA
"Dicka Nassar","2001",NA,"K","M","FRA",NA
"Dimitar Petrov","2001",NA,"C","M","BUL",NA
"Dimitrije Novakovic","2001",NA,"K","M","SER",NA
"Djordje Antonijevic","2002",NA,"K","M","SER",NA
"Domagoj Babić","2003",NA,"K","M","CRO",NA
"Domantas Račkauskas","2002",NA,"K","M","LIT",NA
"Dominik Olexík","2001",NA,"C","M","SVK",NA
"Dominik Wawer","2002",NA,"K","M","POL",NA
"Dominykas Pažėra","2001",NA,"C","M","LIT",NA
"Dóra Horányi","2002",NA,"C","F","HUN",NA
"Dunja Saric","2002",NA,"K","F","SER",NA
"Dusan Milosevic","2001",NA,"C","M","SER",NA
"Džiugas Sopickis","2001",NA,"K","M","LIT",NA
"Edijs Bajars","2001",NA,"K","M","LAT",NA
"Eduard Strýček","2001",NA,"C","M","SVK",NA
"Edvards Ceipe","2001",NA,"K","M","LAT",NA
"Edward Nightingale","2002",NA,"K","M","GBR",NA
"Ee Chng","2003",NA,"K","F","SIN",NA
"Eisaku Nagoshi","2003",NA,"K","M","JPN",NA
"Elena Stevic","2003",NA,"K","F","SER",NA
"Elias Kurth","2001",NA,"K","M","GER",NA
"Elin Rößeling","2002",NA,"K","F","GER",NA
"Elise Churchill","2001",NA,"K","F","GBR",NA
"Elizaveta Domra","2003",NA,"K","F","BLR",NA
"Ella Hodgson","2003",NA,"C","F","CAN",NA
"Elsa Maurer","2002",NA,"K","F","AUS",NA
"Elżbieta Łoboziak","2002",NA,"C","F","POL",NA
